ID Gender,Gender,ID IPEDS Race,IPEDS Race,ID Year,Year,Completions,Geography,ID Geography,Slug Geography
1,"Men","native","American Indian or Alaska Native",2013,"2013",106,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2013,"2013",261,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2013,"2013",65,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2013,"2013",2501,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2013,"2013",144,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2013,"2013",111,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2013,"2013",1,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2013,"2013",153,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2013,"2013",100,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2013,"2013",134,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2013,"2013",238,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2013,"2013",42,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2013,"2013",2938,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2012,"2012",113,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2012,"2012",95,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2012,"2012",2,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2012,"2012",119,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2012,"2012",58,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2012,"2012",83,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2012,"2012",235,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2012,"2012",54,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2012,"2012",2652,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2012,"2012",156,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2012,"2012",135,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2012,"2012",2,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2012,"2012",184,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2012,"2012",76,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2012,"2012",147,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2012,"2012",195,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2012,"2012",46,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2012,"2012",3169,"Lawrence, KS","16000US2038900","lawrence-ks"
